"geo","gdp_pps_pct","unemp_rate","educ_tertiary","rnd_gdp_pct","hitech_emp_pct","broadband_pct","country","dev_class"
"AT11",85,5.15,31.3666666666667,0.84,181.16,94.185,"AT","transizione"
"AT12",100,6.84166666666667,33.9,1.78,158.04,93.215,"AT","transizione"
"AT13",143,14.15,44.4666666666667,4.04,159.05,94.34,"AT","piu_sviluppata"
"AT21",107,6.1125,33.6,2.98,135.77,93.245,"AT","piu_sviluppata"
"AT22",111,5.48333333333333,30.2333333333333,5.17,135.05,92.43,"AT","piu_sviluppata"
"AT31",126,4.72727272727273,30.4666666666667,3.58,131.78,92.955,"AT","piu_sviluppata"
"AT32",140,5.4,33.6,1.75,113.53,93.91,"AT","piu_sviluppata"
"AT33",118,5.1375,31.4333333333333,3.21,141.24,92.22,"AT","piu_sviluppata"
"AT34",137,4.075,28.6333333333333,1.86,132.51,95.135,"AT","piu_sviluppata"
"BE10",194,15.4416666666667,52.2,2.49,53.37,96.5,"BE","piu_sviluppata"
"BE21",137,5.99166666666667,43.5333333333333,NA,46.45,96.36,"BE","piu_sviluppata"
"BE22",94,3.8625,39.2333333333333,NA,44.13,96.465,"BE","transizione"
"BE23",110,3.84166666666667,50,NA,49.13,96.27,"BE","piu_sviluppata"
"BE24",128,5.06363636363636,53.1666666666667,NA,46.35,98.055,"BE","piu_sviluppata"
"BE25",114,4.58333333333333,39.5,NA,46.68,96.42,"BE","piu_sviluppata"
"BE31",141,7.68,59.6333333333333,NA,49.54,97.905,"BE","piu_sviluppata"
"BE32",72,11.575,33.4666666666667,NA,72.7,94.085,"BE","meno_sviluppata"
"BE33",85,11.4333333333333,42.3666666666667,NA,61.31,95.6,"BE","transizione"
"BE34",73,6.3,44.6333333333333,NA,59.14,93.35,"BE","meno_sviluppata"
"BE35",79,9.15454545454545,42.7666666666667,NA,70.06,92.59,"BE","transizione"
"BG31",39,18.8777777777778,19.9,0.36,185.95,86.75,"BG","meno_sviluppata"
"BG32",41,10.875,26.6,0.31,176.56,91.335,"BG","meno_sviluppata"
"BG33",47,9.05555555555556,25.9666666666667,0.35,186.67,92.615,"BG","meno_sviluppata"
"BG34",46,8.4,22.7333333333333,0.28,247.64,90.865,"BG","meno_sviluppata"
"BG41",97,5.23333333333333,43.1,1.18,130.36,93.115,"BG","transizione"
"BG42",39,5.23,22.6,0.46,385.73,92.765,"BG","meno_sviluppata"
"CY00",91,7.375,46.9333333333333,0.83,83.77,96.705,"CY","transizione"
"CZ01",206,3.77272727272727,49.8,2.83,240.95,97.08,"CZ","piu_sviluppata"
"CZ02",83,4.24166666666667,25.6,2.28,273.1,94.655,"CZ","transizione"
"CZ03",77,4.06666666666667,21.6,1.57,191.48,96.11,"CZ","transizione"
"CZ04",61,6.52727272727273,15.1,0.38,295.37,93.015,"CZ","meno_sviluppata"
"CZ05",74,4.54166666666667,20.9333333333333,1.38,240.85,93.66,"CZ","meno_sviluppata"
"CZ06",86,3.86666666666667,27.7666666666667,2.52,257.32,94.055,"CZ","transizione"
"CZ07",73,4.45833333333333,24.5666666666667,1.58,232.85,93.97,"CZ","meno_sviluppata"
