"K","cv_error"
1,0.304545454545455
2,0.431818181818182
3,0.338636363636364
4,0.346969696969697
5,0.29469696969697
6,0.354545454545455
7,0.303787878787879
8,0.304545454545455
9,0.312878787878788
10,0.303787878787879
11,0.293939393939394
12,0.278030303030303
13,0.312121212121212
14,0.345454545454545
15,0.312121212121212
16,0.356060606060606
17,0.329545454545455
18,0.371969696969697
19,0.34469696969697
20,0.38030303030303
21,0.371969696969697
22,0.371969696969697
23,0.396969696969697
24,0.387878787878788
25,0.413636363636364
